,model,pooling,mv_window_size,mv_window_shift_frac,per_cls_precision_0,per_cls_precision_1,per_cls_precision_2,per_cls_precision_3,per_cls_recall_0,per_cls_recall_1,per_cls_recall_2,per_cls_recall_3,macro_precision,macro_recall,macro_f1,overall_accuracy
155,LSTM,asymmetric-max,1024,1.0,0.998101768889831,0.9875107329630883,0.9274977895585544,0.7045454545134298,0.9994721033204087,0.95811875189264,0.7916981132015721,0.5098684210358596,0.9044139364812258,0.81478934736262,0.857265506284132,0.9975455005808584
156,LSTM,asymmetric-max,2048,0.25,0.9981526363758773,0.9857565379817981,0.9248251748170908,0.6916299559166682,0.9994066277632526,0.9591790366548324,0.7984905660317095,0.5164473684040642,0.9000910762728587,0.8183808997134647,0.857293398823093,0.9975315996941805
157,LSTM,asymmetric-max,2048,0.5,0.9981323536022485,0.9874405179803514,0.9271290605713159,0.7104072397868594,0.9994680110980865,0.9586488942737362,0.7969811320694568,0.5164473684040642,0.9057772929851937,0.8178863514613359,0.8595910037147759,0.9975733023542145
158,LSTM,asymmetric-max,2048,1.0,0.9981099807319994,0.988206810370987,0.9292661361544716,0.7142857142527979,0.9995007488766645,0.9582702211443818,0.7932075471638249,0.5098684210358596,0.9074671603775639,0.8152117345551826,0.8588691435704797,0.9975812457180304
159,LSTM,asymmetric-max,4096,0.25,0.9981323536022485,0.9874405179803514,0.9271290605713159,0.7104072397868594,0.9994680110980865,0.9586488942737362,0.7969811320694568,0.5164473684040642,0.9057772929851937,0.8178863514613359,0.8595910037147759,0.9975733023542145
160,LSTM,asymmetric-max,4096,0.5,0.99812832804114,0.9881342701007118,0.9286971830904165,0.718894009183461,0.9994966566543423,0.9586488942737362,0.7962264150883305,0.5131578947199619,0.9084634476039324,0.8168824651840927,0.8602424021835012,0.9975971324456624
161,LSTM,asymmetric-max,4096,1.0,0.9981161143734957,0.9885183160189107,0.9293909973439596,0.7162790697341266,0.999508933321309,0.9584974250219944,0.7947169811260777,0.5065789473517572,0.9080761243676231,0.8148255717052846,0.8589272906070897,0.9975971324456624
162,LSTM,gaussian,128,0.25,0.9981364860501882,0.9878296146036918,0.9310954063521989,0.718894009183461,0.9994966566543423,0.9589518327772197,0.7954716981072041,0.5131578947199619,0.908988879047385,0.816769520564682,0.8604152317067972,0.9976030899685244
163,LSTM,gaussian,128,0.5,0.9981364860501882,0.9876716604236987,0.93115622241014,0.7155963302424038,0.9994966566543423,0.9586488942737362,0.7962264150883305,0.5131578947199619,0.9081401747816076,0.8168824651840927,0.8600974424574226,0.9975971324456624
164,LSTM,gaussian,128,1.0,0.9981012140783837,0.9784406150985406,0.9128888888807744,0.6527196652446561,0.9991795094243675,0.9589518327772197,0.7750943396167917,0.5131578947199619,0.8855375958255887,0.8115958941345852,0.8469559723978403,0.9972416669148968
165,LSTM,gaussian,256,0.25,0.9981222249692793,0.9882885696432009,0.9302120141260583,0.7175925925593707,0.9995048410989867,0.9586488942737362,0.7947169811260777,0.5098684210358596,0.9085538503244772,0.815684784383665,0.8596183060591511,0.9975991182866164
166,LSTM,gaussian,256,0.5,0.9981283433386391,0.9882903981256922,0.9302736098770498,0.7175925925593707,0.9995048410989867,0.9588003635254779,0.7954716981072041,0.5098684210358596,0.908571235975188,0.8159113309418821,0.8597518772561956,0.9976050758094784
167,LSTM,gaussian,256,1.0,0.9981056155114532,0.9830666459523201,0.9243772241910644,0.6946902654559871,0.9993493366507411,0.9584974250219944,0.7841509433903083,0.5164473684040642,0.9000599377777062,0.814611268366777,0.8552064799546248,0.9974203926007567
168,LSTM,gaussian,512,0.25,0.9981161105242199,0.9884402093251672,0.9293909973439596,0.7175925925593707,0.9995068872101479,0.9584216903961236,0.7947169811260777,0.5098684210358596,0.9083849774381794,0.8156284949420523,0.8595114592177715,0.9975951466047084
169,LSTM,gaussian,512,0.5,0.9981161105242199,0.9884402093251672,0.9293909973439596,0.7175925925593707,0.9995068872101479,0.9584216903961236,0.7947169811260777,0.5098684210358596,0.9083849774381794,0.8156284949420523,0.8595114592177715,0.9975951466047084
170,LSTM,gaussian,512,1.0,0.9981016757972655,0.9859001324289274,0.9271758436862596,0.6950672645428221,0.9994229966525416,0.9584974250219944,0.7879245282959403,0.5098684210358596,0.9015612291138186,0.813928342751584,0.8555064919761967,0.9974978403979625
171,LSTM,gaussian,1024,0.25,0.9981181499431767,0.9884402093251672,0.9294532627784,0.7175925925593707,0.9995068872101479,0.9584216903961236,0.7954716981072041,0.5098684210358596,0.9084010536515287,0.8158171741873338,0.8596234100245558,0.9975971324456624
172,LSTM,gaussian,1024,0.5,0.9981181499431767,0.9884402093251672,0.9294532627784,0.7175925925593707,0.9995068872101479,0.9584216903961236,0.7954716981072041,0.5098684210358596,0.9084010536515287,0.8158171741873338,0.8596234100245558,0.9975971324456624
173,LSTM,gaussian,1024,1.0,0.998101768889831,0.9875107329630883,0.9274977895585544,0.7045454545134298,0.9994721033204087,0.95811875189264,0.7916981132015721,0.5098684210358596,0.9044139364812258,0.81478934736262,0.857265506284132,0.9975455005808584
174,LSTM,gaussian,2048,0.25,0.9981181499431767,0.9884402093251672,0.9294532627784,0.7175925925593707,0.9995068872101479,0.9584216903961236,0.7954716981072041,0.5098684210358596,0.9084010536515287,0.8158171741873338,0.8596234100245558,0.9975971324456624
175,LSTM,gaussian,2048,0.5,0.9981181499431767,0.9884402093251672,0.9294532627784,0.7175925925593707,0.9995068872101479,0.9584216903961236,0.7954716981072041,0.5098684210358596,0.9084010536515287,0.8158171741873338,0.8596234100245558,0.9975971324456624
176,LSTM,gaussian,2048,1.0,0.9981099807319994,0.988206810370987,0.9292661361544716,0.7142857142527979,0.9995007488766645,0.9582702211443818,0.7932075471638249,0.5098684210358596,0.9074671603775639,0.8152117345551826,0.8588691435704797,0.9975812457180304
177,LSTM,gaussian,4096,0.25,0.9981181499431767,0.9884402093251672,0.9294532627784,0.7175925925593707,0.9995068872101479,0.9584216903961236,0.7954716981072041,0.5098684210358596,0.9084010536515287,0.8158171741873338,0.8596234100245558,0.9975971324456624
178,LSTM,gaussian,4096,0.5,0.9981181499431767,0.9884402093251672,0.9294532627784,0.7175925925593707,0.9995068872101479,0.9584216903961236,0.7954716981072041,0.5098684210358596,0.9084010536515287,0.8158171741873338,0.8596234100245558,0.9975971324456624
179,LSTM,gaussian,4096,1.0,0.9981161143734957,0.9885183160189107,0.9293909973439596,0.7162790697341266,0.999508933321309,0.9584974250219944,0.7947169811260777,0.5065789473517572,0.9080761243676231,0.8148255717052846,0.8589272906070897,0.9975971324456624
180,LSTM,max,128,0.25,0.9982403145769602,0.9837234537273416,0.9252823631544286,0.7136363636039256,0.9993841205404802,0.9612238715533464,0.8037735848995943,0.5164473684040642,0.9052206237656639,0.8202072363493713,0.8606195819194556,0.9975772740361224
